,name_res,img_link,food_link,favorite_tag,is_quality_mer,address,promotion
10,Cô Liễu - Gỏi Cuốn,https://images.foody.vn/res/g103/1029534/prof/s280x175/file_restaurant_photo_8qvk_16337-3e10e1e6-211008211144.jpg,https://shopeefood.vn/ho-chi-minh/co-lieu-goi-cuon,Yêu thích,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"11 Đường Số 8, P. Trường Thọ, Thành Phố Thủ Đức, TP. HCM",Giảm hết 10%
11,Thành Đạt - Hủ Tiếu Nam Vang - 22C Nguyễn Hữu Cầu,https://images.foody.vn/res/g112/1114707/prof/s280x175/foody-upload-api-foody-mobile-un-de857048-211105141117.jpeg,https://shopeefood.vn/ho-chi-minh/thanh-dat-hu-tieu-nam-vang-22c-nguyen-huu-cau,Yêu thích,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"22C Nguyễn Hữu Cầu, P. Tân Định, Quận 1, TP. HCM",Giảm món
12,Ăn Vặt AVAGI - Combo Bánh Tráng Phơi Sương & Đồ Ăn Vặt - Chánh Hưng,https://images.foody.vn/res/g100006/1000059473/prof/s280x175/file_507e56d9-5513-484f-b657-ae1-78e07be4-221018133719.jpeg,https://shopeefood.vn/ho-chi-minh/an-vat-avagi-combo-banh-trang-phoi-suong-do-an-vat-chanh-hung,Yêu thích,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"7/13B Chánh Hưng, P. 4, Quận 8, TP. HCM",Giảm món
13,Bread 24h - Hamburger & Bánh Mì - Đường 49,https://images.foody.vn/res/g117/1163852/prof/s280x175/foody-upload-api-foody-mobile-co-d9ccd215-230308161210.jpeg,https://shopeefood.vn/ho-chi-minh/bread-24h-hamburger-banh-mi-duong-49,Yêu thích,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"Số 80 Đường 49, P. Tân Quy, Quận 7, TP. HCM",Giảm hết 5%
14,Cơm Văn Phòng Ting Ting - Nguyễn Gia Trí,https://images.foody.vn/res/g113/1123512/prof/s280x175/foody-upload-api-foody-mobile-ti-357cb35b-230616110024.jpeg,https://shopeefood.vn/ho-chi-minh/com-van-phong-ting-ting-nguyen-gia-tri,Yêu thích,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"213/9 Nguyễn Gia Trí, P. 25, Bình Thạnh, TP. HCM",Giảm hết 10%
15,Mì Trộn Nam Kỳ - Nguyễn Gia Trí,https://images.foody.vn/res/g113/1123503/prof/s280x175/image-4311432f-230613121821.jpeg,https://shopeefood.vn/ho-chi-minh/mi-tron-nam-ky-nguyen-gia-tri,Yêu thích,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"213/9 Nguyễn Gia Trí, P.25, Bình Thạnh, TP. HCM",Giảm hết 10%
16,Bún Ngõ Phố - Bún Thịt Xào & Nem Nướng - Nguyễn Gia Trí,https://images.foody.vn/res/g113/1123514/prof/s280x175/image-2337a410-230613122646.jpeg,https://shopeefood.vn/ho-chi-minh/bun-ngo-pho-bun-thit-xao-nem-nuong-nguyen-gia-tri,,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"213/9 Nguyễn Gia Trí, P. 25, Bình Thạnh, TP. HCM",Giảm hết 10%
17,Hẻm Đậu - Bún Đậu Mắm Tôm - Âu Dương Lân,https://images.foody.vn/res/g106/1051594/prof/s280x175/foody-upload-api-foody-mobile-5-201019093715.jpg,https://shopeefood.vn/ho-chi-minh/hem-dau-bun-dau-mam-tom-au-duong-lan,Yêu thích,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"144 Âu Dương Lân, P. 3, Quận 8, TP. HCM",Giảm món
18,TocoToco Bubble Tea - Tạ Quang Bửu,https://images.foody.vn/res/g97/962342/prof/s280x175/foody-upload-api-foody-mobile-hm1-190927143319.jpg,https://shopeefood.vn/ho-chi-minh/tocotoco-bubble-tea-ta-quang-buu,,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"892C Tạ Quang Bửu, P. 5, Quận 8, TP. HCM",Giảm hết 30%
19,Chè Ngon Cô Ba - Phan Xích Long,https://images.foody.vn/res/g113/1128361/prof/s280x175/foody-upload-api-foody-mobile-fo-66dc0e03-220228113043.jpeg,https://shopeefood.vn/ho-chi-minh/che-ngon-co-ba-phan-xich-long,Yêu thích,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"397 Phan Xích Long, P. 3, Phú Nhuận, TP. HCM",Đồng giá 19K - Deal 1K
20,Cô Tấm - Cơm Gà Hội An - Nguyễn Gia Trí,https://images.foody.vn/res/g105/1042880/prof/s280x175/foody-upload-api-foody-mobile-foody-upload-api-foo-200818133720.jpg,https://shopeefood.vn/ho-chi-minh/co-tam-com-ga-hoi-an-nguyen-gia-tri,,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"36/66 Nguyễn Gia Trí, P. 25, Bình Thạnh, TP. HCM",Giảm món
21,Tuyết - Quán Ốc 35K,https://images.foody.vn/res/g31/309721/prof/s280x175/foody-upload-api-foody-mobile-5789-jpg-181116150234.jpg,https://shopeefood.vn/ho-chi-minh/tuyet-quan-oc-30k,Yêu thích,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"271 Nơ Trang Long, P. 13, Bình Thạnh, TP. HCM",Giảm món 10%
22,Chè Liên Đà Nẵng - Phạm Văn Đồng,https://images.foody.vn/res/g103/1027770/prof/s280x175/file_restaurant_photo_oecl_16539-b770586c-220531170801.jpg,https://shopeefood.vn/ho-chi-minh/che-lien-da-nang-pham-van-dong,,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"1230 Phạm Văn Đồng, P. Linh Tây, Thành Phố Thủ Đức, TP. HCM",Giảm món
23,"Bún Thịt Nướng, Cơm Tấm & Nui Xào - Má Bảy",https://images.foody.vn/res/g99/988501/prof/s280x175/file_restaurant_photo_pa0e_16580-7bf53f03-220717164631.jpeg,https://shopeefood.vn/ho-chi-minh/bun-thit-nuong-com-tam-nui-xao-ma-bay,Yêu thích,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"21/29 Đường Số 26, P. Bình An, Thành Phố Thủ Đức, TP. HCM",Deal 1K
24,Trà Sữa Tiger Sugar Delivery - Đường Nâu Sữa Đài Loan - Nguyễn Sơn,https://images.foody.vn/res/g99/983103/prof/s280x175/image-ec2a2e23-220808160302.jpg,https://shopeefood.vn/ho-chi-minh/tra-sua-tiger-sugar-delivery-duong-nau-sua-dai-loan-nguyen-son,Yêu thích,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"37 Nguyễn Sơn, P. Phú Thạnh, Tân Phú, TP. HCM",Giảm hết 45%
25,Daboba - Kha Vạn Cân,https://images.foody.vn/res/g116/1158908/prof/s280x175/foody-upload-api-foody-mobile-fo-ab8b5ba5-221219124329.jpeg,https://shopeefood.vn/ho-chi-minh/daboba-kha-van-can,,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"588A Kha Vạn Cân, P. Linh Đông, Thành Phố Thủ Đức, TP. HCM",Giảm hết 50%
26,TocoToco Bubble Tea - Đường Số 23,https://images.foody.vn/res/g94/938147/prof/s280x175/foody-upload-api-foody-mobile-foody-upload-api-foo-190808095840.jpg,https://shopeefood.vn/ho-chi-minh/tocotoco-bubble-tea-duong-so-23,Yêu thích,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"17 Đường Số 23, P. 10, Quận 6, TP. HCM",Giảm hết 10%
27,Burger King - Nguyễn Tri Phương,https://images.foody.vn/res/g12/110359/prof/s280x175/foody-upload-api-foody-mobile-z4-bfc5d0b6-230729103531.jpeg,https://shopeefood.vn/ho-chi-minh/burger-king-nguyen-tri-phuong,,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"539 Nguyễn Tri Phương, P. 8, Quận 10, TP. HCM",Giảm món
28,Fua Chảy Tiêm - Bún Gạo Singapore & Pad Thái - Hoàng Sa,https://images.foody.vn/res/g115/1144833/prof/s280x175/foody-upload-api-foody-mobile-im-ad4a7f20-220714130047.jpeg,https://shopeefood.vn/ho-chi-minh/fua-chay-tiem-bun-gao-singapore-pad-thai-hoang-sa,Yêu thích,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"127 Hoàng Sa, P. Tân Định, Quận 1, TP. HCM",Giảm món
29,Trà Sữa & Trà Trái Cây - Say Coffee 24h - Trần Trọng Cung,https://images.foody.vn/res/g117/1164771/prof/s280x175/foody-upload-api-foody-mobile-an-c4d52b76-230329131350.jpg,https://shopeefood.vn/ho-chi-minh/tra-sua-tra-trai-cay-say-coffee-24h-tran-trong-cung,,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"143 Trần Trọng Cung, P. Tân Thuận Đông, Quận 7, TP. HCM",Giảm hết 10%
30,Gà Ủ Muối Hoa Tiêu An Nhiên - Gà Ủ Muối - Nguyễn Xí,https://images.foody.vn/res/g115/1147258/prof/s280x175/foody-upload-api-foody-mobile-co-eded1717-220809193956.jpeg,https://shopeefood.vn/ho-chi-minh/ga-u-muoi-hoa-tieu-an-nhien-ga-u-muoi-nguyen-xi,,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"49 Nguyễn Xí, P. 26, Bình Thạnh, TP. HCM",Giảm hết 30%
31,Chè Út Lyly - Nguyễn Trọng Tuyển,https://images.foody.vn/res/g90/891412/prof/s280x175/foody-upload-api-foody-mobile-8-190319110415.jpg,https://shopeefood.vn/ho-chi-minh/che-ut-lyly,Yêu thích,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"384 Nguyễn Trọng Tuyển, P. 2, Tân Bình, TP. HCM",Giảm hết 5%
32,Gà Nướng Ò Ó O - Gà Nướng Nhiều Vị - Đường Số 1,https://images.foody.vn/res/g103/1021045/prof/s280x175/foody-upload-api-foody-mobile-foody-upload-api-foo-200428094619.jpg,https://shopeefood.vn/ho-chi-minh/ga-nuong-o-o-o-ga-nuong-nhieu-vi-duong-so-1,,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"15 Đường Số 1, P. Phước Bình, Thành Phố Thủ Đức, TP. HCM",Giảm món
33,Út Minh - Cơm Gà Xối Mỡ & Mì Trộn Tóp Mỡ,https://images.foody.vn/res/g67/662933/prof/s280x175/foody-mobile-c2-jpg-264-636317342524106822.jpg,https://shopeefood.vn/ho-chi-minh/ut-minh-com-ga-xoi-mo-mi-tron-top-mo,,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"1 Lô A3 Nguyễn Gia Trí Nối Dài, P. 25, Bình Thạnh, TP. HCM",Giảm món
34,Trà Sữa Tiger Sugar By HongKong - Kha Vạn Cân,https://images.foody.vn/res/g117/1160404/prof/s280x175/foody-upload-api-foody-mobile-cv-49e43d27-230112132337.jpeg,https://shopeefood.vn/ho-chi-minh/tra-sua-tiger-sugar-by-hongkong-kha-van-can,,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"588A Kha Vạn Cân, P. Linh Đông, Thành Phố Thủ Đức, TP. HCM",Giảm hết 45%
35,KAI Coffee - Nguyễn Oanh,https://images.foody.vn/res/g93/927170/prof/s280x175/file_restaurant_photo_m9jw_16384-429d404f-211202161549.jpg,https://shopeefood.vn/ho-chi-minh/kai-coffee-nguyen-oanh,,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"138 Nguyễn Oanh, P. 17, Gò Vấp, TP. HCM",Giảm món
36,Texas Chicken - Hoàng Văn Thụ,https://images.foody.vn/res/g63/624314/prof/s280x175/foody-upload-api-foody-mobile-92a-jpg-180831085112.jpg,https://shopeefood.vn/ho-chi-minh/texas-chicken-hoang-van-thu,Yêu thích,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"392 - 394 Hoàng Văn Thụ, Tân Bình, TP. HCM",Giảm món
37,Gờ Cafe - Phan Văn Trị,https://images.foody.vn/res/g89/885562/prof/s280x175/image-cbe8188a-200824102212.jpeg,https://shopeefood.vn/ho-chi-minh/go-cafe-phan-van-tri,,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"64 Phan Văn Trị, P. 2, Quận 5, TP. HCM",Giảm hết 20%
38,Há Cảo Kiều Ký - Lão Tử,https://images.foody.vn/res/g16/150705/prof/s280x175/foody-mobile-1-jpg-516-635723941842585188.jpg,https://shopeefood.vn/ho-chi-minh/ha-cao-kieu-ky-lao-tu,Yêu thích,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"43 Lão Tử, P. 14, Quận 5, TP. HCM",Giảm món
39,"Al Fresco's - Pizza, Mỳ Ý, Sườn, Steak Bò Bít Tết - Nguyễn Thị Nghĩa",https://images.foody.vn/res/g1/604/prof/s280x175/foody-upload-api-foody-mobile-al-8e568c0d-220427173335.jpeg,https://shopeefood.vn/ho-chi-minh/al-frescos-nguyen-thi-nghia,,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"16 Nguyễn Thị Nghĩa, P. Bến Thành, Quận 1, TP. HCM",Giảm món
40,Bánh Mì Huynh Hoa - Bánh Mì Pate,https://images.foody.vn/res/g2/13831/prof/s280x175/foody-upload-api-foody-mobile-bmi-huynh-hoa-190924151516.jpg,https://shopeefood.vn/ho-chi-minh/huynh-hoa,Yêu thích,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"26 Lê Thị Riêng, P. Bến Thành, Quận 1, TP. HCM",Giảm món
41,Dimsum Homemade - Há Cảo Đặc Biệt - Âu Cơ,https://images.foody.vn/res/g119/1181870/prof/s280x175/foody-upload-api-foody-mobile-co-22a24bd2-230821113252.jpg,https://shopeefood.vn/ho-chi-minh/dimsum-homemade-ha-cao-dac-biet-au-co,Yêu thích,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"756A Âu Cơ, P. 14, Tân Bình, TP. HCM",Giảm món
42,Bún Đậu Chí Phèo - Nguyễn Gia Trí,https://images.foody.vn/res/g90/894902/prof/s280x175/foody-upload-api-foody-mobile-1-190315163301.jpg,https://shopeefood.vn/ho-chi-minh/bun-dau-chi-pheo-nguyen-gia-tri,Yêu thích,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"149 Nguyễn Gia Trí, P. 25, Bình Thạnh, TP. HCM",Giảm món
43,Korea House - Đồ Ăn Hàn Quốc Và Cơm Trộn - Xô Viết Nghệ Tĩnh,https://images.foody.vn/res/g119/1186028/prof/s280x175/foody-upload-api-foody-mobile-fo-e7f4bbe8-230926121416.jpeg,https://shopeefood.vn/ho-chi-minh/korea-house-do-an-han-quoc-va-com-tron-xo-viet-nghe-tinh,,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"860/60X/20 Xô Viết Nghệ Tĩnh, P.25, Bình Thạnh, TP. HCM",Giảm hết 20%
44,Mì Quảng 3 Anh Em - Đường Số 56,https://images.foody.vn/res/g90/899295/prof/s280x175/foody-upload-api-foody-mobile-hmc-190327180705.jpg,https://shopeefood.vn/ho-chi-minh/mi-quang-3-anh-em-duong-so-56,,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"38 Đường Số 56, P. Bình Trưng Đông, Thành Phố Thủ Đức, TP. HCM",Giảm hết 15%
45,Chuối Chiên HT - Bánh Chuối Mè Đen & Phô Mai - Nguyễn Văn Giai,https://images.foody.vn/res/g115/1147121/prof/s280x175/foody-upload-api-foody-mobile-ca-c6854b7e-220807082034.jpeg,https://shopeefood.vn/ho-chi-minh/chuoi-chien-ht-banh-chuoi-me-den-pho-mai-nguyen-van-giai,Yêu thích,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"12 Nguyễn Văn Giai, P. Đa Kao, Quận 1, TP. HCM",Giảm món
46,Trà Sữa Sunday Basic - Tôn Đản,https://images.foody.vn/res/g115/1147462/prof/s280x175/image-b106837a-230912170342.jpg,https://shopeefood.vn/ho-chi-minh/tra-sua-sunday-basic-ton-dan,Yêu thích,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"25 Tôn Đản, P. 13, Quận 4, TP. HCM",Giảm món
47,Tré Trộn Dì Bảy - Tân Kỳ Tân Quý,https://images.foody.vn/res/g118/1172693/prof/s280x175/foody-upload-api-foody-mobile-co-9811de4a-230602132412.jpg,https://shopeefood.vn/ho-chi-minh/tre-tron-di-bay-tan-ky-tan-quy,Yêu thích,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"86 Tân Kỳ Tân Quý, P. Tây Thạnh, Tân Phú, TP. HCM",Giảm món
48,TocoToco Bubble Tea - 553C Huỳnh Tấn Phát,https://images.foody.vn/res/g97/961176/prof/s280x175/foody-upload-api-foody-mobile-hmd-190925142947.jpg,https://shopeefood.vn/ho-chi-minh/tocotoco-bubble-tea-553c-huynh-tan-phat,,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"553C Huỳnh Tấn Phát, P. Tân Thuận Đông, Quận 7, TP. HCM",Giảm món
49,SOI THÁI - Origami,https://images.foody.vn/res/g116/1152871/prof/s280x175/foody-upload-api-foody-mobile-z4-77e0c6cc-231030115608.jpeg,https://shopeefood.vn/ho-chi-minh/tra-sua-soi-thai-origami,,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"Origami S8.03, Vinhomes Grand Park, P. Long Thạnh Mỹ, Thành Phố Thủ Đức, TP. HCM",Giảm món
50,Trà Sữa Không Béo KOTA DIET - Đồng Đen,https://images.foody.vn/res/g118/1170755/prof/s280x175/foody-upload-api-foody-mobile-ko-6cdf1987-230515144905.jpg,https://shopeefood.vn/ho-chi-minh/tra-sua-khong-beo-kota-diet-dong-den,,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"288 Đồng Đen, P. 10, Tân Bình, TP. HCM",Giảm món
51,Cà Phê Nhà Mình - Cà Phê & Sữa Tươi - Đường Số 32,https://images.foody.vn/res/g119/1184063/prof/s280x175/foody-upload-api-foody-mobile-av-f0d5bd56-230909082518.jpeg,https://shopeefood.vn/ho-chi-minh/ca-phe-nha-minh-ca-phe-sua-tuoi-duong-so-32,Yêu thích,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"Kios 12 Đường Số 32, P. 10, Quận 6, TP. HCM",Giảm hết 8%
52,FRESH BOX - Salad & Chat! - Nguyễn Gia Trí,https://images.foody.vn/res/g119/1188328/prof/s280x175/foody-upload-api-foody-mobile-sp-14b12dfe-231011123930.jpeg,https://shopeefood.vn/ho-chi-minh/fresh-box-salad-chat-nguyen-gia-tri,,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"213/9 Nguyễn Gia Trí, P.25, Bình Thạnh, TP. HCM",Giảm hết 10%
53,Xuyên Đêm Quán - Open 24/7 - Nguyễn Gia Trí,https://images.foody.vn/res/g119/1188371/prof/s280x175/foody-upload-api-foody-mobile-sp-4e39e51a-231011145638.jpeg,https://shopeefood.vn/ho-chi-minh/xuyen-dem-quan-open-24-7-nguyen-gia-tri,,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"213/9 Nguyễn Gia Trí, P.25, Bình Thạnh, TP. HCM",Giảm hết 10%
54,Taetang - Trà Sữa Nướng Chính Hãng - Lê Văn Sỹ,https://images.foody.vn/res/g103/1020312/prof/s280x175/foody-upload-api-foody-mobile-anh-bia-200620123047.jpg,https://shopeefood.vn/ho-chi-minh/taetang-tra-sua-nuong-chinh-hang-le-van-sy,Yêu thích,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"292 Lê Văn Sỹ, P. 14, Quận 3, TP. HCM",Giảm hết 5%
55,Quán No - Bún Đậu Mắm Tôm,https://images.foody.vn/res/g88/872842/prof/s280x175/foody-upload-api-foody-mobile-foody-mobile-12-jpg--190110140537.jpg,https://shopeefood.vn/ho-chi-minh/quan-no-bun-dau-mam-tom,,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"26/24/24 Đỗ Quang Đẩu, P. Phạm Ngũ Lão, Quận 1, TP. HCM",Giảm hết 20%
56,Sinh Tố Tao Đàn - The Sun Avenue,https://images.foody.vn/res/g107/1060452/prof/s280x175/image-86703b68-220927152940.jpg,https://shopeefood.vn/ho-chi-minh/sinh-to-tao-dan-the-sun-avenue,Yêu thích,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"The Sun Avenue, Block SAV.06 - 00.01, 28 Mai Chí Thọ, P. An Phú, Thành Phố Thủ Đức, TP. HCM",Giảm món
57,Bánh Mì Bảy Hổ - Phan Ngữ,https://images.foody.vn/res/g117/1163201/prof/s280x175/foody-upload-api-foody-mobile-co-a1542702-230303162600.jpg,https://shopeefood.vn/ho-chi-minh/banh-mi-bay-ho-phan-ngu,,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"12 Phan Ngữ, P. Đa Kao, Quận 1, TP. HCM",Giảm món
58,Bánh Canh - Gà Ủ Muối & Gỏi Tiến Vua Đức Huy - Nguyễn Văn Linh,https://images.foody.vn/res/g117/1164298/prof/s280x175/foody-upload-api-foody-mobile-co-fa38fea4-230312152534.jpeg,https://shopeefood.vn/ho-chi-minh/banh-canh-ga-u-muoi-goi-tien-vua-duc-huy-nguyen-van-linh,Yêu thích,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"240 Nguyễn Văn Linh, P. Tân Thuận Tây, Quận 7, TP. HCM",ƯU ĐÃI 25%
59,Mộc Vị Quán - Mì Quảng & Cơm Dĩa Nóng - Nguyễn Gia Trí,https://images.foody.vn/res/g103/1021929/prof/s280x175/image-a0b715ec-200910114137.jpeg,https://shopeefood.vn/ho-chi-minh/moc-vi-quan-mi-quang-com-dia-nong-nguyen-gia-tri,Yêu thích,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"160 Nguyễn Gia Trí, P. 25, Bình Thạnh, TP. HCM",Giảm hết 5%
60,Starbucks Coffee - Nguyễn Văn Trỗi,https://images.foody.vn/res/g30/297589/prof/s280x175/foody-mobile-15073311_13654723434-496-636153183980962458.jpg,https://shopeefood.vn/ho-chi-minh/starbucks-coffee-297589,Yêu thích,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"66 Nguyễn Văn Trỗi, Phú Nhuận, TP. HCM",Giảm món
61,Bà Xã Vegan - Nhà Hàng Chay - Pasteur,https://images.foody.vn/res/g115/1142144/prof/s280x175/foody-upload-api-foody-mobile-co-cfb6428a-220701124819.jpg,https://shopeefood.vn/ho-chi-minh/ba-xa-vegan-nha-hang-chay-pasteur,,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"178/4 Pasteur, P. Bến Nghé, Quận 1, TP. HCM",Giảm món
62,Mì Quảng Mỹ Sơn - Kỳ Đồng,https://images.foody.vn/res/g1/3456/prof/s280x175/image-6fa5e7e7-200917112100.jpeg,https://shopeefood.vn/ho-chi-minh/mi-quang-my-son-ky-dong,,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"9A Kỳ Đồng, P. 9, Quận 3, TP. HCM",Giảm món
63,Hủ Tiếu Nam Vang Hòa - Đường 79,https://images.foody.vn/res/g107/1069995/prof/s280x175/file_restaurant_photo_hbrx_16498-ad3f706b-220413180836.jpeg,https://shopeefood.vn/ho-chi-minh/hu-tieu-nam-vang-hoa-duong-79,Yêu thích,Đây là 1 trong những Merchants được đánh giá cao trong ShopeeFood,"99A Đường 79, P. Tân Quy, Quận 7, TP. HCM",Giảm món 15%
